opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,10/20/2016,3/1/2017,1054.00 
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,10/25/2016,3/11/2017,4514.00 
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,10/25/2016,3/7/2017,50.00 
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,10/25/2016,3/9/2017,588.00 
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,10/25/2016,3/2/2017,517.00 
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,10/29/2016,3/1/2017,49.00 
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,10/30/2016,3/2/2017,57.00 
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,11/1/2016,3/7/2017,601.00 
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,11/1/2016,3/3/2017,1026.00 
HAXMC4IX,James Ascencio,MG Advanced,,Engaging,11/3/2016,,
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,11/4/2016,3/10/2017,53.00 
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,11/4/2016,3/18/2017,0.00 
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,11/4/2016,3/10/2017,5169.00 
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,11/4/2016,3/6/2017,4631.00 
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,11/5/2016,3/11/2017,3393.00 
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,11/5/2016,3/3/2017,0.00 
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,11/5/2016,3/6/2017,3284.00 
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,11/6/2016,3/5/2017,61.00 
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,11/7/2016,3/9/2017,0.00 
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,11/7/2016,3/8/2017,46.00 
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,11/7/2016,3/17/2017,0.00 
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,11/7/2016,3/18/2017,50.00 
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,11/7/2016,3/11/2017,1014.00 
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,11/8/2016,3/26/2017,561.00 
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,11/10/2016,3/23/2017,590.00 
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,11/10/2016,,
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,11/10/2016,3/12/2017,61.00 
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,11/10/2016,3/11/2017,0.00 
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,11/11/2016,3/5/2017,58.00 
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,11/11/2016,3/14/2017,4899.00 
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,11/11/2016,3/1/2017,0.00 
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,11/11/2016,3/3/2017,67.00 
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,11/12/2016,3/6/2017,4338.00 
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,11/12/2016,3/19/2017,578.00 
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,11/12/2016,3/1/2017,556.00 
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,11/12/2016,3/3/2017,635.00 
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,11/12/2016,3/7/2017,3045.00 
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,11/13/2016,3/14/2017,1233.00 
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,11/13/2016,3/9/2017,60.00 
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,11/14/2016,3/30/2017,0.00 
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,11/14/2016,3/8/2017,0.00 
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,11/14/2016,3/20/2017,1170.00 
EG7OFLFR,Kami Bicknell,GTX Basic,,Engaging,11/14/2016,,
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,11/15/2016,3/20/2017,1162.00 
OLVI7L8M,Cassey Cress,GTXPro,,Engaging,11/16/2016,,
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,11/16/2016,3/14/2017,3725.00 
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,11/16/2016,3/31/2017,559.00 
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,11/16/2016,3/11/2017,0.00 
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,11/17/2016,3/21/2017,0.00 
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,11/17/2016,3/5/2017,4667.00 
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,11/17/2016,3/17/2017,903.00 
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,11/17/2016,3/13/2017,1180.00 
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,11/17/2016,3/5/2017,487.00 
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,11/18/2016,3/4/2017,3180.00 
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,11/19/2016,3/17/2017,0.00 
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,11/19/2016,3/18/2017,3563.00 
F5U1ACDD,Kami Bicknell,GTX Plus Basic,,Engaging,11/19/2016,,
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,11/20/2016,3/23/2017,4704.00 
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,11/20/2016,3/14/2017,5585.00 
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,11/20/2016,3/9/2017,25897.00 
ZZY4516R,Hayden Neloms,MG Advanced,,Engaging,11/20/2016,,
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,11/20/2016,3/3/2017,1207.00 
